ANO,MES,CNES,LEITOS_EXISTENTES,LEITOS_SUS,UTI_TOTAL_EXIST,UTI_TOTAL_SUS,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS
2019,01,0010456,702,666,68,32,56,23,6,3,6,6,0,0,0,0
2019,01,0010464,357,342,16,16,10,10,0,0,0,0,6,6,0,0
2019,01,0010472,421,401,20,8,20,8,0,0,0,0,0,0,0,0
2019,01,0010480,430,400,18,14,10,6,0,0,8,8,0,0,0,0
2019,01,0010499,443,417,21,11,8,6,5,2,8,3,0,0,0,0
2019,01,0010502,253,211,18,6,8,6,0,0,10,0,0,0,0,0
2019,01,0010510,230,202,29,8,10,4,0,0,10,4,0,0,9,0
2019,01,0010529,148,140,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,0010537,323,297,76,66,10,4,20,16,46,46,0,0,0,0
2019,01,0010545,124,116,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,0010618,83,83,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,2645157,239,222,10,9,10,9,0,0,0,0,0,0,0,0
2019,01,2649497,255,0,66,0,44,0,12,0,0,0,0,0,10,0
2019,01,2649527,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,2672197,151,131,20,0,20,0,0,0,0,0,0,0,0,0
2019,01,2673916,240,240,12,12,12,12,0,0,0,0,0,0,0,0
2019,01,2779366,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,2814897,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,2815966,314,0,59,0,43,0,0,0,16,0,0,0,0,0
2019,01,3000974,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,3005402,219,0,58,0,58,0,0,0,0,0,0,0,0,0
2019,01,3013162,229,0,39,0,39,0,0,0,0,0,0,0,0,0
2019,01,3018520,193,0,24,0,10,0,4,0,10,0,0,0,0,0
2019,01,3019608,227,0,62,0,41,0,6,0,15,0,0,0,0,0
2019,01,3019616,126,0,34,0,34,0,0,0,0,0,0,0,0,0
2019,01,3030121,167,0,50,0,30,0,6,0,14,0,0,0,0,0
2019,01,3048551,160,0,47,0,35,0,12,0,0,0,0,0,0,0
2019,01,3055450,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,3276678,124,106,37,30,27,20,8,8,2,2,0,0,0,0
2019,01,5027438,52,0,22,0,22,0,0,0,0,0,0,0,0,0
2019,01,5085047,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,5717515,473,416,100,58,61,29,21,11,18,18,0,0,0,0
2019,01,5831628,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,6243495,94,3,3,3,3,3,0,0,0,0,0,0,0,0
2019,01,6362729,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,6730914,30,13,20,8,20,8,0,0,0,0,0,0,0,0
2019,01,6876617,90,70,20,0,0,0,20,0,0,0,0,0,0,0
2019,01,6921434,152,0,25,0,25,0,0,0,0,0,0,0,0,0
2019,01,7131607,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,7147155,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,7161158,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,7242441,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,7477090,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,7865791,75,0,18,0,18,0,0,0,0,0,0,0,0,0
2019,01,7897634,150,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,7907958,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,7928971,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,7978642,140,0,36,0,36,0,0,0,0,0,0,0,0,0
2019,01,7981457,60,0,40,0,20,0,0,0,20,0,0,0,0,0
2019,01,9040021,30,5,20,0,20,0,0,0,0,0,0,0,0,0
2019,01,9052682,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,9307524,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,01,9551948,55,0,17,0,17,0,0,0,0,0,0,0,0,0
2019,01,9699848,73,0,19,0,19,0,0,0,0,0,0,0,0,0
2019,02,0010456,702,666,68,32,56,23,6,3,6,6,0,0,0,0
2019,02,0010464,357,342,16,16,10,10,0,0,0,0,6,6,0,0
2019,02,0010472,421,401,20,8,20,8,0,0,0,0,0,0,0,0
2019,02,0010480,430,400,18,14,10,6,0,0,8,8,0,0,0,0
2019,02,0010499,443,417,21,11,8,6,5,2,8,3,0,0,0,0
2019,02,0010502,262,220,18,6,8,6,0,0,10,0,0,0,0,0
2019,02,0010510,230,202,29,8,10,4,0,0,10,4,0,0,9,0
2019,02,0010529,148,140,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,0010537,323,297,76,66,10,4,20,16,46,46,0,0,0,0
2019,02,0010545,125,117,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,0010618,83,83,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,2645157,239,222,10,9,10,9,0,0,0,0,0,0,0,0
2019,02,2649497,255,0,66,0,44,0,12,0,0,0,0,0,10,0
2019,02,2649527,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,2672197,151,131,20,0,20,0,0,0,0,0,0,0,0,0
2019,02,2673916,240,240,12,12,12,12,0,0,0,0,0,0,0,0
2019,02,2779366,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,2814897,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,2815966,314,0,59,0,43,0,0,0,16,0,0,0,0,0
2019,02,3000974,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,3013162,229,0,39,0,39,0,0,0,0,0,0,0,0,0
2019,02,3018520,193,0,24,0,10,0,4,0,10,0,0,0,0,0
2019,02,3019608,227,0,62,0,41,0,6,0,15,0,0,0,0,0
2019,02,3019616,126,0,34,0,34,0,0,0,0,0,0,0,0,0
2019,02,3030121,167,0,50,0,30,0,6,0,14,0,0,0,0,0
2019,02,3048551,160,0,47,0,35,0,12,0,0,0,0,0,0,0
2019,02,3055450,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,3276678,124,106,37,30,27,20,8,8,2,2,0,0,0,0
2019,02,5027438,52,0,22,0,22,0,0,0,0,0,0,0,0,0
2019,02,5085047,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,5717515,473,416,100,58,61,29,21,11,18,18,0,0,0,0
2019,02,5831628,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,6243495,94,3,3,3,3,3,0,0,0,0,0,0,0,0
2019,02,6362729,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,6730914,30,13,20,8,20,8,0,0,0,0,0,0,0,0
2019,02,6876617,150,120,30,0,0,0,30,0,0,0,0,0,0,0
2019,02,6921434,152,0,25,0,25,0,0,0,0,0,0,0,0,0
2019,02,7131607,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,7161158,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,7242441,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,7477090,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,7865791,75,0,18,0,18,0,0,0,0,0,0,0,0,0
2019,02,7897634,150,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,7907958,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,7928971,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,7978642,140,0,36,0,36,0,0,0,0,0,0,0,0,0
2019,02,7981457,60,0,40,0,20,0,0,0,20,0,0,0,0,0
2019,02,9040021,30,5,20,0,20,0,0,0,0,0,0,0,0,0
2019,02,9052682,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,9307524,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,9551948,55,0,17,0,17,0,0,0,0,0,0,0,0,0
2019,02,9699848,73,0,19,0,19,0,0,0,0,0,0,0,0,0
2019,02,9727353,118,0,30,0,30,0,0,0,0,0,0,0,0,0
2019,03,0010456,705,666,71,32,56,23,9,3,6,6,0,0,0,0
2019,03,0010464,357,342,16,16,10,10,0,0,0,0,6,6,0,0
2019,03,0010472,421,401,20,8,20,8,0,0,0,0,0,0,0,0
2019,03,0010480,430,400,18,14,10,6,0,0,8,8,0,0,0,0
2019,03,0010499,443,417,21,11,8,6,5,2,8,3,0,0,0,0
2019,03,0010502,262,220,18,6,8,6,0,0,10,0,0,0,0,0
2019,03,0010510,230,202,29,8,10,4,0,0,10,4,0,0,9,0
2019,03,0010529,148,140,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,0010537,323,297,76,66,10,4,20,16,46,46,0,0,0,0
2019,03,0010545,125,117,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,0010618,83,83,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,2645157,239,222,10,9,10,9,0,0,0,0,0,0,0,0
2019,03,2649497,255,0,66,0,44,0,12,0,0,0,0,0,10,0
2019,03,2649527,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,2672197,151,131,20,0,20,0,0,0,0,0,0,0,0,0
2019,03,2673916,240,240,12,12,12,12,0,0,0,0,0,0,0,0
2019,03,2779366,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,2814897,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,2815966,314,0,59,0,43,0,0,0,16,0,0,0,0,0
2019,03,3000974,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,3013162,229,0,39,0,39,0,0,0,0,0,0,0,0,0
2019,03,3018520,193,0,24,0,10,0,4,0,10,0,0,0,0,0
2019,03,3019608,227,0,62,0,41,0,6,0,15,0,0,0,0,0
2019,03,3019616,126,0,34,0,34,0,0,0,0,0,0,0,0,0
2019,03,3030121,167,0,50,0,30,0,6,0,14,0,0,0,0,0
2019,03,3048551,160,0,47,0,35,0,12,0,0,0,0,0,0,0
2019,03,3055450,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,3276678,126,107,49,30,39,20,8,8,2,2,0,0,0,0
2019,03,5027438,52,0,22,0,22,0,0,0,0,0,0,0,0,0
2019,03,5085047,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,5717515,473,416,100,58,61,29,21,11,18,18,0,0,0,0
2019,03,5831628,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,6243495,94,3,3,3,3,3,0,0,0,0,0,0,0,0
2019,03,6362729,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,6730914,30,13,20,8,20,8,0,0,0,0,0,0,0,0
2019,03,6876617,150,120,30,0,0,0,30,0,0,0,0,0,0,0
2019,03,6921434,152,0,25,0,25,0,0,0,0,0,0,0,0,0
2019,03,7131607,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,7161158,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,7242441,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,7477090,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,7865791,75,0,18,0,18,0,0,0,0,0,0,0,0,0
2019,03,7897634,150,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,7907958,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,7928971,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,7978243,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,7978642,140,0,36,0,36,0,0,0,0,0,0,0,0,0
2019,03,7981457,60,0,40,0,20,0,0,0,20,0,0,0,0,0
2019,03,9040021,30,5,20,0,20,0,0,0,0,0,0,0,0,0
2019,03,9052682,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,9307524,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,03,9551948,55,0,17,0,17,0,0,0,0,0,0,0,0,0
2019,03,9699848,73,0,19,0,19,0,0,0,0,0,0,0,0,0
2019,03,9727353,118,0,30,0,30,0,0,0,0,0,0,0,0,0
2019,03,9748202,106,0,30,0,30,0,0,0,0,0,0,0,0,0
2019,04,0010456,705,666,71,32,56,23,9,3,6,6,0,0,0,0
2019,04,0010464,357,342,16,16,10,10,0,0,0,0,6,6,0,0
2019,04,0010472,421,401,20,8,20,8,0,0,0,0,0,0,0,0
2019,04,0010480,430,400,18,14,10,6,0,0,8,8,0,0,0,0
2019,04,0010499,443,417,21,11,8,6,5,2,8,3,0,0,0,0
2019,04,0010502,255,213,18,6,8,6,0,0,10,0,0,0,0,0
2019,04,0010510,220,192,29,8,10,4,0,0,10,4,0,0,9,0
2019,04,0010529,148,140,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,0010537,323,297,76,66,10,4,20,16,46,46,0,0,0,0
2019,04,0010545,125,117,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,0010618,83,83,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,2645157,239,222,10,9,10,9,0,0,0,0,0,0,0,0
2019,04,2649497,255,0,66,0,44,0,12,0,0,0,0,0,10,0
2019,04,2649527,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,2672197,151,131,20,0,20,0,0,0,0,0,0,0,0,0
2019,04,2673916,240,240,12,12,12,12,0,0,0,0,0,0,0,0
2019,04,2814897,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,2815966,314,0,59,0,43,0,0,0,16,0,0,0,0,0
2019,04,3000974,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,3005402,219,0,58,0,58,0,0,0,0,0,0,0,0,0
2019,04,3013162,229,0,39,0,39,0,0,0,0,0,0,0,0,0
2019,04,3018520,193,0,24,0,10,0,4,0,10,0,0,0,0,0
2019,04,3019608,227,0,62,0,41,0,6,0,15,0,0,0,0,0
2019,04,3019616,126,0,34,0,34,0,0,0,0,0,0,0,0,0
2019,04,3025020,168,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,3030121,167,0,50,0,30,0,6,0,14,0,0,0,0,0
2019,04,3048551,160,0,47,0,35,0,12,0,0,0,0,0,0,0
2019,04,3055450,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,3276678,126,107,49,30,39,20,8,8,2,2,0,0,0,0
2019,04,5027438,52,0,22,0,22,0,0,0,0,0,0,0,0,0
2019,04,5085047,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,5717515,473,416,100,58,61,29,21,11,18,18,0,0,0,0
2019,04,5796423,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,5831628,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,6243495,94,3,3,3,3,3,0,0,0,0,0,0,0,0
2019,04,6362729,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,6730914,30,13,20,8,20,8,0,0,0,0,0,0,0,0
2019,04,6876617,150,120,30,0,0,0,30,0,0,0,0,0,0,0
2019,04,6921434,152,0,25,0,25,0,0,0,0,0,0,0,0,0
2019,04,7131607,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,7161158,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,7242441,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,7477090,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,7865791,75,0,18,0,18,0,0,0,0,0,0,0,0,0
2019,04,7897634,150,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,7907958,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,7928971,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,7978243,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,7978642,140,0,36,0,36,0,0,0,0,0,0,0,0,0
2019,04,7981457,60,0,40,0,20,0,0,0,20,0,0,0,0,0
2019,04,9040021,30,5,20,0,20,0,0,0,0,0,0,0,0,0
2019,04,9052682,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,9307524,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,04,9551948,55,0,17,0,17,0,0,0,0,0,0,0,0,0
2019,04,9699848,73,0,19,0,19,0,0,0,0,0,0,0,0,0
2019,04,9727353,118,0,30,0,30,0,0,0,0,0,0,0,0,0
2019,04,9748202,106,0,30,0,30,0,0,0,0,0,0,0,0,0
2019,05,0010456,705,666,71,32,56,23,9,3,6,6,0,0,0,0
2019,05,0010464,357,342,16,16,10,10,0,0,0,0,6,6,0,0
2019,05,0010472,421,401,20,8,20,8,0,0,0,0,0,0,0,0
2019,05,0010480,430,400,18,14,10,6,0,0,8,8,0,0,0,0
2019,05,0010499,443,417,21,11,8,6,5,2,8,3,0,0,0,0
2019,05,0010502,255,213,18,6,8,6,0,0,10,0,0,0,0,0
2019,05,0010510,220,192,29,8,10,4,0,0,10,4,0,0,9,0
2019,05,0010529,148,140,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,0010537,323,297,76,66,10,4,20,16,46,46,0,0,0,0
2019,05,0010545,125,117,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,0010618,83,83,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,2645157,239,222,10,9,10,9,0,0,0,0,0,0,0,0
2019,05,2649497,255,0,66,0,44,0,12,0,0,0,0,0,10,0
2019,05,2649527,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,2672197,151,131,20,0,20,0,0,0,0,0,0,0,0,0
2019,05,2673916,240,240,12,12,12,12,0,0,0,0,0,0,0,0
2019,05,2814897,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,2815966,437,0,89,0,57,0,11,0,21,0,0,0,0,0
2019,05,3000974,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,3005402,219,0,58,0,58,0,0,0,0,0,0,0,0,0
2019,05,3013162,229,0,39,0,39,0,0,0,0,0,0,0,0,0
2019,05,3018520,193,0,24,0,10,0,4,0,10,0,0,0,0,0
2019,05,3019608,227,0,62,0,41,0,6,0,15,0,0,0,0,0
2019,05,3019616,126,0,34,0,34,0,0,0,0,0,0,0,0,0
2019,05,3025020,168,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,3030121,167,0,50,0,30,0,6,0,14,0,0,0,0,0
2019,05,3048551,160,0,47,0,35,0,12,0,0,0,0,0,0,0
2019,05,3055450,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,3276678,126,107,49,30,39,20,8,8,2,2,0,0,0,0
2019,05,5027438,52,0,22,0,22,0,0,0,0,0,0,0,0,0
2019,05,5085047,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,5717515,473,416,100,58,61,29,21,11,18,18,0,0,0,0
2019,05,5796423,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,5831628,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,6243495,94,3,3,3,3,3,0,0,0,0,0,0,0,0
2019,05,6362729,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,6730914,30,13,20,8,20,8,0,0,0,0,0,0,0,0
2019,05,6876617,150,120,30,0,0,0,30,0,0,0,0,0,0,0
2019,05,6921434,152,0,25,0,25,0,0,0,0,0,0,0,0,0
2019,05,7131607,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,7161158,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,7242441,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,7477090,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,7865791,75,0,18,0,18,0,0,0,0,0,0,0,0,0
2019,05,7897634,150,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,7907958,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,7928971,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,7978243,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,7978642,140,0,36,0,36,0,0,0,0,0,0,0,0,0
2019,05,7981457,60,0,40,0,20,0,0,0,20,0,0,0,0,0
2019,05,9040021,30,5,20,0,20,0,0,0,0,0,0,0,0,0
2019,05,9052682,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,9307524,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,05,9551948,55,0,17,0,17,0,0,0,0,0,0,0,0,0
2019,05,9699848,73,0,19,0,19,0,0,0,0,0,0,0,0,0
2019,05,9727353,40,0,10,0,10,0,0,0,0,0,0,0,0,0
2019,05,9748202,106,0,30,0,30,0,0,0,0,0,0,0,0,0
2019,06,0010456,705,666,71,32,56,23,9,3,6,6,0,0,0,0
2019,06,0010464,357,342,16,16,10,10,0,0,0,0,6,6,0,0
2019,06,0010472,421,401,20,8,20,8,0,0,0,0,0,0,0,0
2019,06,0010480,430,400,18,14,10,6,0,0,8,8,0,0,0,0
2019,06,0010499,443,417,21,11,8,6,5,2,8,3,0,0,0,0
2019,06,0010502,255,213,18,6,8,6,0,0,10,0,0,0,0,0
2019,06,0010510,220,192,29,8,10,4,0,0,10,4,0,0,9,0
2019,06,0010529,148,140,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,0010537,323,297,76,66,10,4,20,16,46,46,0,0,0,0
2019,06,0010545,125,117,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,0010618,83,83,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,2645157,239,222,10,9,10,9,0,0,0,0,0,0,0,0
2019,06,2649497,255,0,66,0,44,0,12,0,0,0,0,0,10,0
2019,06,2649527,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,2672197,151,131,20,0,20,0,0,0,0,0,0,0,0,0
2019,06,2673916,240,240,12,12,12,12,0,0,0,0,0,0,0,0
2019,06,2814897,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,2815966,328,0,118,0,86,0,11,0,21,0,0,0,0,0
2019,06,3000974,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,3005402,219,0,58,0,58,0,0,0,0,0,0,0,0,0
2019,06,3013162,229,0,39,0,39,0,0,0,0,0,0,0,0,0
2019,06,3018520,193,0,24,0,10,0,4,0,10,0,0,0,0,0
2019,06,3019608,227,0,62,0,41,0,6,0,15,0,0,0,0,0
2019,06,3019616,126,0,34,0,34,0,0,0,0,0,0,0,0,0
2019,06,3025020,168,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,3030121,167,0,50,0,30,0,6,0,14,0,0,0,0,0
2019,06,3048551,160,0,47,0,35,0,12,0,0,0,0,0,0,0
2019,06,3055450,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,3276678,126,107,49,30,39,20,8,8,2,2,0,0,0,0
2019,06,5027438,52,0,22,0,22,0,0,0,0,0,0,0,0,0
2019,06,5085047,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,5717515,473,416,100,58,61,29,21,11,18,18,0,0,0,0
2019,06,5796423,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,5831628,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,6243495,94,3,3,3,3,3,0,0,0,0,0,0,0,0
2019,06,6362729,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,6730914,30,13,20,8,20,8,0,0,0,0,0,0,0,0
2019,06,6876617,150,120,30,0,0,0,30,0,0,0,0,0,0,0
2019,06,6921434,152,0,25,0,25,0,0,0,0,0,0,0,0,0
2019,06,7131607,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,7161158,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,7242441,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,7477090,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,7865791,75,0,18,0,18,0,0,0,0,0,0,0,0,0
2019,06,7897634,150,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,7907958,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,7928971,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,7978243,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,7978642,140,0,36,0,36,0,0,0,0,0,0,0,0,0
2019,06,7981457,60,0,40,0,20,0,0,0,20,0,0,0,0,0
2019,06,9040021,30,5,20,0,20,0,0,0,0,0,0,0,0,0
2019,06,9052682,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,9307524,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,06,9551948,55,0,17,0,17,0,0,0,0,0,0,0,0,0
2019,06,9699848,73,0,19,0,19,0,0,0,0,0,0,0,0,0
2019,06,9727353,40,0,10,0,10,0,0,0,0,0,0,0,0,0
2019,06,9748202,106,0,30,0,30,0,0,0,0,0,0,0,0,0
2019,07,0010456,705,666,71,32,56,23,9,3,6,6,0,0,0,0
2019,07,0010464,357,342,16,16,10,10,0,0,0,0,6,6,0,0
2019,07,0010472,421,401,20,8,20,8,0,0,0,0,0,0,0,0
2019,07,0010480,430,400,18,14,10,6,0,0,8,8,0,0,0,0
2019,07,0010499,443,417,21,11,8,6,5,2,8,3,0,0,0,0
2019,07,0010502,255,213,18,6,8,6,0,0,10,0,0,0,0,0
2019,07,0010510,220,192,29,8,10,4,0,0,10,4,0,0,9,0
2019,07,0010529,148,140,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,0010537,323,297,76,66,10,4,20,16,46,46,0,0,0,0
2019,07,0010545,125,117,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,0010618,83,83,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,2645157,239,222,10,9,10,9,0,0,0,0,0,0,0,0
2019,07,2649497,255,0,66,0,44,0,12,0,0,0,0,0,10,0
2019,07,2649527,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,2672197,151,131,20,0,20,0,0,0,0,0,0,0,0,0
2019,07,2673916,240,240,12,12,12,12,0,0,0,0,0,0,0,0
2019,07,2814897,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,2815966,328,0,118,0,86,0,11,0,21,0,0,0,0,0
2019,07,3000974,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,3005402,219,0,58,0,58,0,0,0,0,0,0,0,0,0
2019,07,3013162,252,0,39,0,39,0,0,0,0,0,0,0,0,0
2019,07,3018520,193,0,24,0,10,0,4,0,10,0,0,0,0,0
2019,07,3019608,227,0,62,0,41,0,6,0,15,0,0,0,0,0
2019,07,3019616,162,0,46,0,46,0,0,0,0,0,0,0,0,0
2019,07,3025020,168,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,3030121,167,0,50,0,30,0,6,0,14,0,0,0,0,0
2019,07,3048551,160,0,47,0,35,0,12,0,0,0,0,0,0,0
2019,07,3055450,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,3276678,126,107,49,30,39,20,8,8,2,2,0,0,0,0
2019,07,5027438,52,0,22,0,22,0,0,0,0,0,0,0,0,0
2019,07,5085047,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,5717515,473,416,100,58,61,29,21,11,18,18,0,0,0,0
2019,07,5796423,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,5831628,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,6243495,94,3,3,3,3,3,0,0,0,0,0,0,0,0
2019,07,6362729,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,07,6730914,30,13,20,8,20,8,0,0,0,0,0,0,0,0
2019,07,6876617,150,120,30,0,0,0,30,0,0,0,0,0,0,0
2019,07,6921434,152,0,25,0,25,0,0,0,0,0,0,0,0,0
